reviewer_name,rating,review_text
Aan Dermawan,1,"Pelayanan kurang, tidak ada bawang goreng sama daun bawang, es jeruk habis, sampai pengunjung yg baru datang ngecap lidah nya sampai bunyi krn pas datang ndada bawang goreng sama daun bawangnya, dulu pernahma bilang kalau terakhir mka makan krn ndk worth it rasanya, kembalika saya kira ada perubahan ternyata masih sama bahkan lebih buruk, liat org2 review jg trnyaya sama, bnyk yg kecewa, kata tukang parkirnya samaji ini paraikatte yg di pettarani sm hertasning, tapi knapa yg di perintis ini kureng skali"
Aal Wulan,1,"KECEWA KI!!!
Kesini karena baca ulasannya orang2 katanya cotonya enak dan pelayanannya bagus, ternyata untuk pengalaman sy berbeda dan agak kecewa dengan tempat ini, tidak bermaksud menjatuhkan tapi inilah pengalaman yg sy rasakan sendiri.

Bungkus dua coto porsi besar untuk di makan di rumah bersama keluarga tapi yg dirasakan pada saat makan tidak sesuai ekspektasi. Kuahnya memang kental dan gurih namun dagingnya kurang bersih masih ada kulit dan bulu sapinya menempel di daging yg di sajikan (bukti lihat di foto yg sy bagikan)dan jg tidak ada daun bawang di cotonya.

Pelayannya ramah namun tidak sesuai instruksi,
sy bertanya pada pelayan : bisa di bungkuskan bawang goreng dan daun bawang untuk tambahananya?
Pelayan : Bisa kak nanti kami bungkuskan.
Dan saya percaya bahwa pelayannya sudah bungkuskan, tapi ternyata pada saat di rumah untuk di sajikan dan kami mau makan tidak ada tambahan bawang goreng dan daun bawang yg sy minta di bungkuskan. Sy merasa kesal dan tertipu oleh pelayannya.

Saran sy semoga untuk kedepannya bisa lebih teliti lagi dan lebih diperhatikan lagi soal kebersihan pengolahan makanannya agar tidak terdapat daging yg tidak bersih seperti yg sy dapatkan. Dan untuk pelayannya lebih fokus lagi atau kalau perlu di cek kembali pesanan yg di minta pelanggan sudah sesuai atau belum agar tidak terjadi sprti hal yg sy rasakan.

Sy berharap ini bisa jadi perhatian untuk ownernya sy yakin kalau hal2 kecil ini tidak diperhatikan lama2 akan menjadi besar dan akan merugikan rumah makannya sendiri kalau pelanggan yg dtng makan banyak yg kecewa dan mengeluh sehingga tidak mau kembali berkunjung untuk makan di tempat ini.

Semoga kedepannya bisa lebih baik untuk sy pribadi dan kita semua terimakasih!!"
Aryunnisaa,4,"Rasanya yg paling cocok di lidah, minimal tiap 1-2 minggu sekali pasti ke sini.

Saran saja, mungkin bisa kipasnya digantung saja di tembok supaya tdk diputar sendiri sm pelanggan utk menghadap ke mejanya sendiri.. Kasian pelanggan lain akhirnya kepanasan ï¿½ï¿½ï¿½ï¿"
Arnita Y. Sologi,4,"Coto Paraikate memang pantas disebut salah satu kuliner legendaris di Makassar. Kuahnya kental, gurih, dan kaya rempah khas Bugis-Makassar. Dagingnya empuk, porsinya pas, dan bisa pilih campuran sesuai seleraï¿½ï¿½ï¿½mulai dari daging sampai jeroan. Apalagi kalau dinikmati dengan buras, rasanya makin mantap dan bikin kenyang.

Tempatnya cukup luas, suasana ramai tapi pelayanan tetap cepat. Harganya juga sebanding dengan rasa dan popularitasnya.

ï¿½ï¿½ï¿½ Testimoni pribadi: waktu saya makan di sini, sensasinya benar-benar beda. Begitu sendok pertama masuk, langsung terasa nikmat kuahnya yang hangat berpadu dengan daging empuk. Tidak heran kalau banyak orang bilang belum sah ke Makassar kalau belum coba Coto Paraikateï¿½ï¿½ï¿½dan setelah mencicipi sen"
Sung Go Kong,5,"Kemarin pesan coto + 3 ketupat + 2 air gelas total 30.000, pelayanan standar, parkiran luas, tempat luas dan nyaman cuma kurang kipas angin, coto dan ketupatnya mantap."
Nurul Fadhilah IA,4,#NAME?
Amalia Indah,4,"Pelayanan sudah bagus, coto nya? Sudah pasti enak banget, waktu saya datang langsung disamperin sama pegawai nya dengan ramah, saya suka sekali pelayanan yang seperti itu, dan juga untuk makan di tempat, meja nya sudah bersih, dan saya lihat setiap orang selesai makan langsung dibersihkan, sudah sangat improve kebersihannya, tetapi ada 1 hal lagi area tempat makannya bisa direnovasi lagi, seperti atap, pencahayaan, dan juga saya masih lihat ada tumpukan beberapa besi di ruang makan, mungkin itu bisa dipindahkan untuk kebersihan area tempat makan pengunjung, mungkin itu saja yang bisa saya review sekian dan terima kasih"
Matt Azmar,4,"Cotonya lumayan enak... dengan dua pilihan porsi besar Rp.18.000 atau porsi kecil Rp. 13.000. Tp sayangnya ukuran ketupatnya sangat kecil kira2 seukuran 4 kali sendok makan. Tempatnya agak sedikit jorok, tidak tertata dan agak berantakan. Adanya di pinggir jalan Perintis Kemerdekaan."
munawir syam,4,"Cotonya enak dengan kuah yang kental, tempat dan parkiran luas, pelayan cepat tanggap, harga terjangkau, tempat bersih. Recomended untuk tempat makan coto.

Ada musholla yang disiapkan di depan warung berupa gazebo kecil, mantaplah."
Ridha AmalAfdhy,3,Coto terenak yang pernah saya makan. Kuahnya kental dan berkarakter. Hanya saja kebersihan tempatnya kurang terjaga dan ada tikus yang berseliweran di dalam area rumah makan.
Channel Ettapedia,3,"Menu khas Makassar, Coto Paraikatte Perintis, berada di jalan perintis kemerdekaan kota Makassar, menyajikan makanan berbahan daging dengan kuah yg kaya rempah-rempah. Nikmat ditemani ketupat, tempatnya cukup luas dan harganya pun murah, hanya 18 ribu per porsi."
Hamsyadi H. TUTU,4,"Makanan yang satu ini sangat mengasyikkan dgn bumbu yang luar bisa sehingga memakannya begitu menikmatinya di tambah ketupatnya yang lembut dan enak, asyiik berada di tempat ini..."
Ala Bariklana,5,"Termasuk coto andalan di makassar,  enak ada porsi besar ada porsi kecil.  Porsi besarnya 18.000 porsi kecilnya 12.000, tapi khas paraikatte, kuah cotonya mantap,  bumbunya mantap,  tempatnya juga nyaman,  sayang agak panas karena pake kipas angin,  tapi tertutupi enaknya coto nya"
Dimas Prakoso,5,"Suka sama coto paraikatte perintis. Bawang gorengnya gratis, parunya digoreng terlebih dahulu, dan bumbunya terasa kental.

Suka mampir kesini malam-malam pada saat perjalanan pulang.

Tadi lihat katanya ada paket hemat coto 12ribu"
irsyam,2,"Rasa cotonya biasa aja, jauh lebih enak coto paraikatte yg di jl. Pettarani.
Yg jadi pertanyaan apakah warung coto ini benar cabang coto paraikatte yg di pettarani ??

Terus sudah beberapa kali kesini pesan daging-paru tp parunya tidak pernah ada....
Dan satu lagi tempatnya agak jorok..."
M. Dandy,3,"Kuahnya biasa aja, bahkan agak hambar.

Ga tahu kalau ternyata ada porsi besar. Ga sempat ngecek menu, soalnya kecil juga papan menunya. Pelayan yang datang saat nanyain pesanan pun ga nawarin ""mau porsi besar atau kecil?"" Ujug2 dateng mangkok gede. Kalau kuahnya nikmat dan gurih sih, oke2 aja dengan porsi mangkok gede. Kalau hambar, aduuuuh... jadi mubadzir kan gak habis ï¿½ï"
yanles 11,5,Satubkata saja...sedaaapp... yg ke makasar...kalo ga kesini.. ga sah loh... cobain deh...daging banyak... mantab.. di makan pake lontong dan buras..makin ok... ada entertain nya... yg nyanyi nambah suasana ok.. mantab lah..
